"sexo","collection_code","collection_no","collection_date","maturity","total_length_cm","precaudal_length_cm","total_weight_gr","liver_weight_gr","factor_condicion_fulton","proporcion_morfometrica","peso_somatico_neto_gr","fuente_run_id"
"female","CCM","1091",2022-01-20,"inmature",75.8,49.5,1587,NA,0.364392399484504,0.653034300791557,NA,"20260910T195140"
"female","CCM","1092",2022-01-20,"inmature",79.9,53.5,1890,NA,0.370528370260429,0.669586983729662,NA,"20260910T195140"
"female","CCM","1093",2022-01-20,"inmature",65.4,43.2,1050,46,0.375366969474128,0.660550458715596,1004,"20260910T195140"
"female","CCM","1094",2022-01-20,"mature",82.4,56.5,2780,136,0.496893322851911,0.685679611650485,2644,"20260910T195140"
"female","CCM","1095",2022-01-20,"mature",85.9,68.1,2334,130,0.368231858795975,0.792782305005821,2204,"20260910T195140"
"female","CCM","1106",2022-01-20,"mature",88.3,65,3068,NA,0.445628793826348,0.736126840317101,NA,"20260910T195140"
"female","CCM","1117",2022-01-20,"mature",90.2,86.2,3522,195,0.479920983585438,0.955654101995565,3327,"20260910T195140"
"female","CCM","1119",2022-01-20,"mature",69.6,55.4,2468,88,0.732010712175951,0.795977011494253,2380,"20260910T195140"
"female","CCM","1120",2022-01-20,"mature",78.9,54.5,2740,140,0.557852717716636,0.690747782002535,2600,"20260910T195140"
"female","CCM","1121",2022-01-20,"mature",85.1,56.2,2643,186,0.428853030007538,0.660399529964747,2457,"20260910T195140"
"female","CCM","1122",2022-01-20,"mature",88,61.5,3348,135,0.491289444027047,0.698863636363636,3213,"20260910T195140"
"female","CCM","1124",2022-01-20,"mature",84.5,56.6,2824,188,0.468052495965761,0.669822485207101,2636,"20260910T195140"
"female","CCM","1125",2022-01-20,"mature",69.5,47.3,2712,198,0.807858449020505,0.680575539568345,2514,"20260910T195140"
"female","CCM","1242",NA,"inmature",64,42,1036,72,0.39520263671875,0.65625,964,"20260910T195140"
"female","CCM","1243",NA,"inmature",53.8,35.6,646,38,0.414844838526206,0.661710037174721,608,"20260910T195140"
"female","CCM","1245",NA,"inmature",61.8,41.8,1086,64,0.46011288984145,0.676375404530744,1022,"20260910T195140"
"female","CCM","1258",NA,"inmature",15.1,10.5,NA,NA,NA,0.695364238410596,NA,"20260910T195140"
